customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Churn,TotalCharges
7590-00029,Female,0,Yes,Yes,72,Yes,No,Fiber optic,No internet service,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,86.59,No,6923.7
7590-00030,Male,0,Yes,Yes,70,Yes,No,DSL,No internet service,Yes,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),68.03,Yes,5262.28
7590-00031,Male,0,Yes,No,38,Yes,No,No,No,No internet service,Yes,No internet service,Yes,No,Month-to-month,Yes,Mailed check,85.82,Yes,3876.11
7590-00032,Female,0,Yes,Yes,30,Yes,Yes,Fiber optic,No,Yes,No internet service,No,No internet service,Yes,One year,Yes,Mailed check,41.54,No,1042.95
7590-00033,Female,0,No,No,49,Yes,No phone service,Fiber optic,Yes,No,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),90.56,Yes,3708.17
7590-00034,Female,0,Yes,Yes,15,Yes,No,Fiber optic,No,No internet service,No internet service,No internet service,No,Yes,Month-to-month,No,Mailed check,49.56,Yes,820.96
7590-00035,Male,0,No,Yes,71,Yes,Yes,DSL,No,Yes,No internet service,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),68.21,No,3902.36
7590-00036,Female,1,Yes,No,50,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,104.93,No,6031.01
7590-00037,Male,0,No,Yes,14,Yes,No,Fiber optic,No,No,No,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),24.75,No,348.0
7590-00038,Male,1,Yes,Yes,37,Yes,No,DSL,No,No,Yes,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),104.2,Yes,3482.19
7590-00039,Male,0,Yes,No,70,Yes,No,Fiber optic,No,Yes,No,Yes,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),51.57,No,4203.52
7590-00040,Male,0,No,Yes,71,No,Yes,Fiber optic,No,Yes,Yes,No,No internet service,No internet service,One year,Yes,Mailed check,42.94,No,3341.22
7590-00041,Male,0,Yes,Yes,20,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,103.56,No,1898.53
7590-00042,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No internet service,No internet service,No,Month-to-month,No,Mailed check,88.1,No,1448.65
7590-00043,Female,0,Yes,Yes,66,Yes,Yes,Fiber optic,No internet service,No,Yes,No,Yes,No,One year,Yes,Credit card (automatic),48.0,No,2918.98
7590-00044,Female,0,Yes,No,64,Yes,Yes,No,No,No internet service,No,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),88.28,No,5737.28
7590-00045,Female,0,No,Yes,12,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,109.05,No,1439.19
7590-00046,Female,1,No,Yes,63,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),105.73,No,6458.98
7590-00047,Male,0,Yes,No,60,Yes,No,Fiber optic,No,No internet service,Yes,No internet service,Yes,Yes,Two year,Yes,Electronic check,99.28,Yes,6703.02
7590-00048,Female,0,No,No,31,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,No,Credit card (automatic),118.42,No,3169.27
7590-00049,Female,0,No,Yes,11,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,35.22,No,390.34
7590-00050,Male,0,No,No,40,Yes,No,Fiber optic,No,No,No,Yes,No,No internet service,Month-to-month,Yes,Electronic check,93.57,No,3039.08
7590-00051,Female,0,Yes,Yes,65,Yes,No,Fiber optic,Yes,No internet service,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,47.84,No,3707.04
7590-00052,Male,0,Yes,Yes,7,Yes,Yes,DSL,No,No,No internet service,No,No,No,Month-to-month,Yes,Credit card (automatic),111.9,No,681.91
7590-00053,Female,1,No,No,58,Yes,No,Fiber optic,No internet service,No,No,No,No,No internet service,Two year,No,Mailed check,26.34,Yes,1322.07
7590-00054,Male,0,No,Yes,24,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),85.35,Yes,2000.96
7590-00055,Female,0,Yes,No,4,Yes,Yes,Fiber optic,No,No,Yes,No,No,No internet service,One year,Yes,Electronic check,38.55,Yes,127.45
7590-00056,Female,0,Yes,Yes,44,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,117.8,No,5954.61
7590-00057,Male,0,Yes,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No,No,One year,Yes,Credit card (automatic),70.47,No,61.82
7590-00058,Male,0,No,No,41,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),71.83,No,3099.47
7590-00059,Male,0,Yes,No,37,No,Yes,No,No internet service,No,Yes,No,No,No internet service,Month-to-month,No,Mailed check,71.25,Yes,2940.42
7590-00060,Male,0,Yes,Yes,2,Yes,No,Fiber optic,No internet service,No,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),94.51,No,188.95
7590-00061,Male,0,Yes,No,45,Yes,No,DSL,No,Yes,No internet service,No,No,Yes,Month-to-month,Yes,Electronic check,115.88,No,4247.14
7590-00062,Male,0,No,No,21,Yes,No,DSL,Yes,No internet service,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),114.79,No,2233.87
7590-00063,Male,0,Yes,No,32,Yes,No,Fiber optic,No,Yes,No internet service,No,No,Yes,One year,No,Electronic check,41.7,No,1392.42
7590-00064,Male,0,Yes,No,31,Yes,Yes,No,Yes,No,No,No,Yes,No internet service,Month-to-month,No,Mailed check,74.4,No,2186.78
7590-00065,Female,0,No,No,16,Yes,No phone service,No,No,No,No,No,No,No internet service,Two year,Yes,Mailed check,73.11,No,1238.78
7590-00066,Female,0,No,No,55,Yes,No,DSL,No,No,No,Yes,No internet service,No internet service,One year,Yes,Electronic check,30.77,No,1700.75
7590-00067,Male,1,Yes,No,2,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,No,Yes,Month-to-month,No,Mailed check,88.31,No,175.11
7590-00068,Female,1,Yes,No,69,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),94.54,No,5855.16
7590-00069,Female,0,No,No,48,Yes,No,DSL,No,No internet service,No,No,No,No,Two year,No,Mailed check,105.62,No,5983.38
7590-00070,Female,0,No,Yes,54,Yes,Yes,No,No internet service,No,Yes,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,92.17,No,5102.51
7590-00071,Female,0,No,No,30,Yes,Yes,No,Yes,No,No internet service,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),30.18,Yes,804.03
7590-00072,Male,0,No,No,20,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),110.61,No,2094.3
7590-00073,Female,1,No,No,15,Yes,No,DSL,No,Yes,No,No,Yes,No,Two year,Yes,Mailed check,39.45,Yes,500.81
7590-00074,Male,0,No,Yes,16,Yes,No phone service,Fiber optic,No,No internet service,Yes,No,No,No,Month-to-month,No,Mailed check,79.51,No,1421.44
7590-00075,Female,1,Yes,No,0,Yes,Yes,DSL,No,No internet service,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),83.06,No,83.06
7590-00076,Female,1,Yes,No,71,Yes,No,No,No,No internet service,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,33.53,Yes,2647.33
7590-00077,Female,0,Yes,No,64,Yes,Yes,No,No,No internet service,No internet service,Yes,No,No,Two year,No,Mailed check,52.75,No,3624.42
7590-00078,Male,0,Yes,No,65,Yes,No,DSL,No,No,Yes,Yes,No internet service,No internet service,Two year,Yes,Electronic check,48.38,Yes,3726.39
7590-00079,Female,0,No,No,36,Yes,No phone service,DSL,No,No,No,No internet service,No,No,One year,Yes,Mailed check,89.58,Yes,3540.0
7590-00080,Male,1,Yes,No,23,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,81.06,Yes,1994.43
7590-00081,Female,0,No,Yes,61,Yes,No,Fiber optic,No,No internet service,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,60.7,Yes,3860.2
7590-00082,Male,1,Yes,Yes,20,Yes,No,Fiber optic,No,No internet service,No internet service,No,No internet service,Yes,Month-to-month,No,Mailed check,34.87,No,578.41
7590-00083,Female,0,Yes,Yes,36,No,Yes,DSL,Yes,No,Yes,Yes,No,No internet service,Month-to-month,Yes,Electronic check,92.52,Yes,2749.66
7590-00084,Male,0,No,Yes,34,Yes,No phone service,DSL,No,No,Yes,No internet service,No,No internet service,Two year,No,Mailed check,112.61,No,4242.99
7590-00085,Male,1,Yes,No,37,Yes,No,DSL,Yes,No internet service,Yes,No,No internet service,No,One year,No,Bank transfer (automatic),76.24,Yes,3070.14
7590-00086,Female,0,Yes,No,52,Yes,No,DSL,No internet service,No,No,Yes,No,Yes,One year,Yes,Electronic check,109.91,No,5114.03
7590-00087,Male,0,Yes,No,14,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No,No internet service,Yes,One year,No,Electronic check,99.76,Yes,1668.63
7590-00088,Female,0,No,No,41,Yes,No,Fiber optic,Yes,No,No,No internet service,No,No internet service,Two year,No,Credit card (automatic),113.74,No,4002.35
7590-00089,Female,0,Yes,No,3,Yes,No,Fiber optic,No internet service,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,52.35,No,153.87
7590-00090,Female,0,No,No,38,Yes,No,DSL,No,No,Yes,No,No internet service,Yes,Month-to-month,Yes,Electronic check,81.78,Yes,3725.43
7590-00091,Female,0,Yes,No,22,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),41.21,Yes,1055.02
7590-00092,Female,1,No,Yes,14,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),92.41,No,1139.27
7590-00093,Female,1,Yes,No,11,Yes,No phone service,Fiber optic,No,Yes,No,No internet service,Yes,Yes,One year,No,Credit card (automatic),117.16,Yes,1083.5
7590-00094,Female,0,No,Yes,69,No,Yes,No,No,Yes,No,No,No,No internet service,Two year,Yes,Credit card (automatic),50.57,No,2934.86
7590-00095,Female,0,No,No,53,Yes,No,Fiber optic,No internet service,No,Yes,Yes,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),24.84,No,1191.57
7590-00096,Female,0,No,No,37,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,No,Credit card (automatic),116.07,No,4289.88
7590-00097,Female,0,No,No,27,Yes,Yes,Fiber optic,No,Yes,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,21.38,No,659.4
7590-00098,Female,1,Yes,Yes,18,Yes,No,No,Yes,Yes,No internet service,No,No,No,One year,No,Mailed check,54.85,No,802.07
7590-00099,Male,0,No,No,68,No,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),74.5,No,5052.05
7590-00100,Male,0,Yes,No,63,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),96.83,Yes,5237.81
7590-00101,Female,0,No,Yes,3,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No internet service,One year,No,Electronic check,40.01,No,126.98
7590-00102,Female,0,Yes,Yes,9,Yes,No,No,No,No,No internet service,Yes,No,No internet service,Two year,Yes,Mailed check,23.68,No,232.45
7590-00103,Female,0,Yes,No,11,Yes,Yes,No,Yes,Yes,No,No internet service,No,Yes,Month-to-month,No,Bank transfer (automatic),88.29,No,870.91
7590-00104,Female,0,Yes,Yes,68,Yes,No,DSL,Yes,No,No internet service,Yes,No internet service,No,One year,No,Electronic check,28.01,No,1902.32
7590-00105,Female,0,Yes,No,6,No,No,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,No,Electronic check,42.76,No,255.94
7590-00106,Female,0,Yes,No,43,Yes,Yes,Fiber optic,No,Yes,Yes,No,No internet service,Yes,Month-to-month,Yes,Mailed check,45.16,No,1639.32
7590-00107,Female,0,No,No,22,Yes,No,Fiber optic,No,Yes,Yes,No,No internet service,No,Month-to-month,No,Credit card (automatic),102.45,No,2430.91
7590-00108,Female,0,Yes,Yes,1,Yes,Yes,DSL,No,No,No internet service,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),76.49,No,80.71
7590-00109,Male,0,Yes,No,36,Yes,Yes,No,No,No,Yes,Yes,No internet service,No,Two year,No,Bank transfer (automatic),63.64,No,2161.49
7590-00110,Female,0,No,No,68,Yes,No phone service,No,No internet service,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,20.83,No,1177.26
7590-00111,Male,0,Yes,Yes,19,Yes,No,Fiber optic,No internet service,No,No,No,Yes,No,Month-to-month,No,Mailed check,69.32,No,1277.12
7590-00112,Female,0,No,Yes,43,Yes,Yes,DSL,No internet service,No internet service,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),89.87,No,3735.66
7590-00113,Female,0,No,Yes,69,Yes,No,No,No internet service,Yes,No internet service,Yes,No,No,Two year,No,Credit card (automatic),116.4,Yes,7915.51
7590-00114,Male,0,No,No,50,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No internet service,One year,Yes,Credit card (automatic),66.77,No,3041.83
7590-00115,Female,1,No,No,30,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),74.22,No,2630.9
7590-00116,Male,1,Yes,Yes,40,Yes,No,DSL,Yes,Yes,No internet service,No,Yes,No internet service,Month-to-month,No,Credit card (automatic),50.55,No,1625.11
7590-00117,Female,0,Yes,No,57,Yes,No,DSL,No internet service,No,No internet service,No,Yes,No internet service,Month-to-month,Yes,Electronic check,100.23,Yes,6513.05
7590-00118,Female,1,Yes,No,4,Yes,No,Fiber optic,No,No,Yes,No internet service,Yes,No,Two year,Yes,Electronic check,72.55,No,297.91
7590-00119,Male,0,No,No,32,Yes,No,DSL,Yes,No,No internet service,Yes,No internet service,No,Two year,No,Bank transfer (automatic),56.05,Yes,1808.64
7590-00120,Female,0,Yes,No,42,Yes,No,Fiber optic,No,No internet service,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),29.96,No,1450.57
7590-00121,Male,0,Yes,Yes,18,Yes,No phone service,DSL,No,No,Yes,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),107.88,Yes,1731.07
7590-00122,Female,0,Yes,Yes,31,No,Yes,No,Yes,No,No internet service,No,No internet service,No,Month-to-month,Yes,Mailed check,98.79,No,2650.69
7590-00123,Male,0,No,No,2,Yes,No,No,No,No,Yes,No internet service,Yes,Yes,Month-to-month,No,Mailed check,39.08,Yes,63.62
7590-00124,Male,0,Yes,Yes,0,Yes,No,DSL,Yes,No internet service,No internet service,No internet service,Yes,Yes,Month-to-month,No,Credit card (automatic),106.2,No,106.2
7590-00125,Female,0,No,No,40,Yes,No,DSL,No internet service,No,No,No internet service,No,No internet service,One year,No,Electronic check,74.26,No,2671.31
7590-00126,Female,0,Yes,No,47,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,95.69,Yes,3779.98
7590-00127,Male,0,Yes,No,38,Yes,No,Fiber optic,No,No,Yes,No,No,No internet service,Two year,Yes,Electronic check,83.7,No,3583.29
7590-00128,Female,1,Yes,No,4,Yes,No,DSL,No internet service,No,No,No,No,No internet service,Month-to-month,No,Credit card (automatic),25.3,No,120.65
7590-00129,Female,0,No,No,10,Yes,Yes,Fiber optic,No internet service,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),43.25,No,512.47
7590-00130,Female,0,No,No,21,Yes,No phone service,No,No,No internet service,No internet service,No internet service,No,No internet service,One year,No,Electronic check,60.74,No,1347.88
7590-00131,Male,0,Yes,No,63,Yes,No,DSL,No,No internet service,No internet service,Yes,No,Yes,One year,Yes,Mailed check,29.47,No,1540.7
7590-00132,Male,0,Yes,No,11,Yes,No,DSL,No internet service,No,No,No internet service,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),55.71,No,650.91
7590-00133,Male,0,No,No,52,Yes,No,Fiber optic,Yes,No internet service,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),21.87,No,1090.39
7590-00134,Male,0,Yes,No,54,Yes,No,No,No,No internet service,No,No,No,No internet service,Month-to-month,Yes,Electronic check,107.05,No,6151.14
7590-00135,Male,0,Yes,Yes,52,Yes,No,DSL,No internet service,No internet service,No,No,Yes,Yes,One year,No,Electronic check,22.59,No,1402.57
7590-00136,Male,0,Yes,Yes,20,Yes,No,Fiber optic,No internet service,Yes,Yes,No,No,Yes,One year,Yes,Mailed check,73.36,Yes,1332.19
7590-00137,Male,0,Yes,No,18,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),87.55,Yes,1595.96
7590-00138,Male,0,Yes,No,68,Yes,No,No,No,No,No internet service,Yes,No,No,One year,Yes,Credit card (automatic),47.68,No,3195.99
7590-00139,Male,0,Yes,No,71,Yes,Yes,Fiber optic,No,No,No,No internet service,No,Yes,Two year,Yes,Mailed check,18.46,No,1339.6
7590-00140,Female,0,Yes,No,65,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No internet service,Yes,Yes,Month-to-month,No,Electronic check,73.92,No,4853.95
7590-00141,Male,0,No,Yes,58,No,No,No,No,No,No,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),64.98,No,3877.86
7590-00142,Female,0,Yes,No,48,Yes,Yes,Fiber optic,No,No,No,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),37.03,Yes,1810.52
7590-00143,Female,1,No,No,58,Yes,No,Fiber optic,Yes,No,No internet service,No,No,No,Month-to-month,No,Electronic check,27.51,No,1365.35
7590-00144,Female,1,Yes,No,22,Yes,Yes,DSL,No internet service,No,No internet service,No,No,No,Month-to-month,Yes,Bank transfer (automatic),98.43,Yes,1960.2
7590-00145,Male,1,No,No,2,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,No,Electronic check,37.85,No,65.41
7590-00146,Male,0,Yes,No,55,Yes,Yes,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),60.96,No,3064.78
7590-00147,Male,0,No,No,57,Yes,Yes,No,No internet service,No,No internet service,No,Yes,No internet service,One year,Yes,Mailed check,97.43,Yes,6041.09
7590-00148,Male,0,Yes,No,61,Yes,No phone service,Fiber optic,Yes,Yes,No,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),110.25,No,7952.16
7590-00149,Female,0,No,No,17,Yes,No,No,No,No,No,No,Yes,No,One year,Yes,Mailed check,58.3,No,880.11
7590-00150,Male,0,Yes,No,60,Yes,Yes,DSL,No,Yes,No,No internet service,Yes,No,Two year,Yes,Bank transfer (automatic),65.07,No,3655.35
7590-00151,Male,0,Yes,Yes,36,Yes,Yes,DSL,No,No,No internet service,No,No,Yes,Two year,No,Mailed check,89.66,No,3331.8
7590-00152,Male,1,No,No,53,Yes,No,Fiber optic,No,No,No,No,No internet service,No,Two year,Yes,Mailed check,33.64,No,1776.07
7590-00153,Male,0,No,No,64,Yes,No phone service,DSL,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),102.64,No,6931.05
7590-00154,Male,1,Yes,No,13,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Two year,No,Electronic check,45.59,Yes,556.83
7590-00155,Female,0,No,No,4,Yes,No,No,No internet service,No,No internet service,No,Yes,No,One year,No,Electronic check,60.08,Yes,197.38
7590-00156,Male,0,Yes,No,61,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,112.56,No,6597.43
7590-00157,Female,0,Yes,No,0,Yes,No,Fiber optic,No,No internet service,No internet service,Yes,Yes,Yes,Two year,No,Mailed check,115.75,Yes,115.75
7590-00158,Male,0,No,No,62,Yes,Yes,No,Yes,No,No,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),61.81,No,3778.57
7590-00159,Female,0,Yes,No,66,Yes,No,DSL,No,No internet service,No,Yes,No internet service,No internet service,Two year,No,Electronic check,45.27,No,2901.68
7590-00160,Male,0,No,Yes,19,Yes,Yes,Fiber optic,No internet service,No,No,No,No internet service,No,Two year,Yes,Electronic check,32.03,No,672.96
7590-00161,Male,0,Yes,No,42,Yes,No,No,No,No,No,No internet service,Yes,Yes,Two year,Yes,Bank transfer (automatic),33.88,No,1462.4
7590-00162,Female,0,No,Yes,41,Yes,Yes,No,No internet service,No internet service,No,Yes,No,Yes,Two year,No,Mailed check,69.53,No,2463.07
7590-00163,Female,1,No,Yes,68,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,87.17,No,5952.99
7590-00164,Female,0,No,No,38,Yes,Yes,No,No internet service,No,Yes,No,No,No internet service,Month-to-month,Yes,Electronic check,54.72,Yes,2430.36
7590-00165,Male,1,No,No,61,Yes,Yes,DSL,No internet service,Yes,No internet service,No,No internet service,Yes,Month-to-month,No,Mailed check,42.27,Yes,2293.27
7590-00166,Female,0,Yes,Yes,47,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,18.56,Yes,909.49
7590-00167,Male,0,No,No,5,Yes,No phone service,Fiber optic,No,No,No internet service,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),47.44,No,207.9
7590-00168,Male,0,Yes,No,41,Yes,No,Fiber optic,Yes,No,No internet service,No,Yes,Yes,Month-to-month,No,Credit card (automatic),81.54,No,3257.67
7590-00169,Female,0,No,Yes,57,Yes,No,Fiber optic,No internet service,No,No,No internet service,No,Yes,Two year,Yes,Bank transfer (automatic),92.72,Yes,6334.03
7590-00170,Female,0,No,No,42,Yes,No,Fiber optic,No internet service,No,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,100.13,No,4288.43
7590-00171,Male,0,Yes,No,9,No,Yes,No,No,No internet service,Yes,No internet service,No internet service,No internet service,Two year,No,Mailed check,70.73,No,686.94
7590-00172,Male,0,No,No,38,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No internet service,Month-to-month,No,Credit card (automatic),110.95,No,4106.13
7590-00173,Female,0,Yes,No,12,Yes,No phone service,No,No internet service,No,No,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,97.57,Yes,1351.2
7590-00174,Female,0,Yes,No,38,Yes,Yes,Fiber optic,No,No,Yes,No internet service,No,No,Month-to-month,No,Mailed check,97.29,No,3321.53
7590-00175,Female,0,Yes,No,10,Yes,No phone service,Fiber optic,No,Yes,No,No,No,No,Two year,No,Electronic check,20.0,No,187.75
